user_id;age;attraction_distribution;coins;country;retention_days;sex;user_dating.age_start;user_dating.age_end;view_count;was_special;is_special;total_revenue
114250090;32;400;;US;;1;29;35;5;;;0
114164443;26;600;;ES;1,2;1;23;29;5;;;0
114150118;25;428;;FR;4,5,6,7;1;22;28;21;;;0
114139956;34;833;;FR;1;0;52;99;54;;;0
114481439;26;400;;US;1;1;23;29;5;;;0
114202455;51;66;;CL;;1;48;54;15;;;0
114438848;29;0;;US;;0;26;32;0;;;0
114383391;25;500;;ES;1,2,3;1;22;28;2;;;0
114173206;27;511;;US;1,2,3,4,5,6,7,8;1;24;30;43;1;;0
114205335;37;457;;US;1;1;16;50;35;;;0
114344945;40;62;;BE;1,2,3,4,5,8;1;28;32;16;;;0
114106068;25;0;;GB;1;1;22;28;4;;;0
114327853;19;333;;GB;1;1;16;52;3;;;0
114252800;46;414;;US;1,2;1;43;49;41;;;0
114190670;40;0;;AR;;1;37;43;0;;;0
114342967;45;529;;US;2,3,5,6;1;42;48;51;;;0
114165096;37;0;;US;1,2,3,4,5,6,8,9,11,12,13,14,15,16,17,18,19,20,22,23,25;1;34;40;0;;;0
114446960;34;666;;US;1,2;1;31;37;66;;;0
114213006;22;114;;US;1,2,3,4,5,7,9,10,11,13;1;19;25;35;;;0
114408969;35;400;;US;;1;32;38;15;;;0
114139300;30;0;;CA;1,3,4;1;27;33;4;;;0
114187369;26;0;;US;;1;23;29;0;;;0
114061963;45;72;;IL;;1;42;48;69;;;0
114337673;31;0;;CA;1,3,5,7,8;1;28;34;0;;;0
114452770;34;666;;FR;1;1;31;37;3;;;0
114276674;20;0;;US;1;1;17;23;19;;;0
114284274;19;875;;US;;1;16;99;8;;;0
114367716;39;0;;FR;;1;36;42;1;;;0
114439413;25;0;;AU;1;1;22;28;0;;;0
114410327;34;0;;AR;;1;31;37;2;;;0
114334842;43;548;;US;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15;0;40;46;1262;;;0
114161911;37;250;;FR;;1;34;40;4;;;0
114337259;36;0;;US;;1;33;39;0;;;0
114205992;32;200;;ES;1,2,3;1;21;41;5;;;0
114312433;23;48;;US;;0;20;26;351;;;0
114131546;56;0;;ES;;1;48;59;7;;;0
114296805;27;142;;AR;;1;24;30;7;;;0
114293711;25;500;;AR;1,2,3;1;22;28;4;;;0
114442681;40;246;;GB;1;1;37;43;150;1;1;6292
114283944;23;0;;US;1,2;1;20;26;0;;;0
114217972;39;235;;IL;1;1;36;42;34;;;0
114399797;50;677;;US;1,2,3,4,5,6,7,8,10;1;47;53;31;;;0
114086354;39;0;;IT;;1;36;42;18;;;0
114103194;21;285;;US;1,2,3,4,5;1;18;24;7;;;0
114046417;22;0;;US;;1;19;25;0;;;0
114367192;33;0;;US;;1;30;36;2;;;0
114310518;39;666;;FR;1,2,3,4,5,6,7,8,9,11,12,13,14,15;1;36;42;6;;;0
114218649;22;0;;PT;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15;1;19;25;2;;;0
114388429;23;1000;;AE;;1;20;26;1;;;0
114491856;24;125;10;AR;1,2,3,4,5,6;1;16;31;8;1;1;9945
114334482;50;735;;US;1,2,3,4,5,7,9,10;1;41;60;416;;;0
114431402;44;0;;BE;1,2,3;1;23;39;1;;;0
114095949;22;0;;AR;1;1;19;25;4;;;0
114080046;22;0;;AR;;1;19;25;23;;;0
114479367;54;373;;US;1,2,3;1;36;40;91;;;0
114308209;17;0;;US;;1;17;20;18;;;0
114371362;22;500;;US;;1;19;25;6;;;0
114095853;27;250;;CL;1;1;24;30;4;;;0
114280257;32;600;;ES;1;1;29;35;5;;;0
114076399;23;333;;FR;1,2,3,4,5,6;1;20;26;3;;;0
114235795;29;0;;US;;1;26;32;5;;;0
114464240;24;0;;CL;1,2,3,5,6;1;21;27;2;;;0
114139968;19;913;;ES;1,2,3;1;16;22;46;;;0
114205967;25;792;;US;1,14,15,16,17,18,19,20,21,22;1;16;52;159;1;1;9087
114165585;35;0;;FR;;1;32;38;1;;;0
114131679;16;320;;IT;1,2,17;1;16;20;25;1;1;6539
114154504;32;620;22;US;1,2,3;1;29;35;58;;;4602
114179633;16;1000;;ES;;1;16;20;1;;;0
114291502;35;0;;IT;;1;32;38;0;;;0
114211470;36;500;;PT;2;1;33;39;2;;;0
114063749;31;635;;US;;0;28;34;195;;;0
114293473;36;0;;ES;3;1;28;49;2;;;0
114447338;43;500;;CL;;1;30;99;4;;;0
114463350;36;0;;ES;;1;33;39;0;;;0
114277044;23;367;;ES;1,2,3,4,5,6,7,10,11,13,14,15,16,17,18;0;20;26;862;;;0
114429405;24;0;;AR;1,2;1;21;35;1;;;0
114077398;31;200;;IL;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,60;1;16;99;5;;;0
114147152;39;0;;AR;;1;36;42;0;;;0
114324534;30;1000;;US;;1;27;33;2;;;0
114291135;25;583;;US;1,2;1;18;99;12;;;0
114088243;25;1000;;CA;;1;18;30;1;;;0
114283596;43;782;;US;1;1;40;46;23;;;0
114272229;48;155;;CL;1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17;1;30;40;77;;;0
114288704;45;1000;;US;;1;43;60;11;;;0
114193809;43;0;;BE;;1;40;46;0;;;0
114416377;33;333;;AR;1;1;30;36;3;;;0
114412064;22;500;;AR;1,2,3,4,5,6,8,9,10;1;19;25;2;;;0
114271928;26;0;;FR;;1;23;29;0;;;0
114114613;46;1000;;BE;1;1;18;39;2;;;0
114504054;29;607;;IT;1,2;1;26;32;28;;;0
114094296;16;0;;US;1,9;0;16;77;0;;;0
114150593;25;250;;ES;;1;16;20;4;;;0
114050645;21;500;;IT;1;1;18;24;8;;;0
114216229;42;52;;PT;1,2,3,4,5,6,8;1;39;45;19;;;0
114156294;42;630;;US;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24;1;39;45;138;1;;0
114163421;31;181;;DE;;1;28;34;22;;;0
114249198;23;1000;;US;;1;20;26;1;;;0
114094776;30;0;;PT;;1;16;99;2;;;0
114447035;46;473;;US;;1;43;49;19;;;0
114124112;35;613;;IL;1,17,18,19,20,21,22,23,24,25,26;0;44;48;1778;;;0
114116716;16;655;;US;1,2,3,4,5,6,7,8,9,10,11;0;31;99;1005;;;0
114206877;16;0;;CL;;1;16;20;0;;;0
114209739;52;366;;US;1,2,5,8,21;1;49;55;71;;;0
114364961;30;0;;CL;1;1;27;33;0;;;0
114059561;28;750;;GB;1,3,4,5,6,8,10,11,12,13,14,15,16,17,18,19,20,21,23,24,25,26,27,29,60;1;25;31;8;;;0
114481368;24;517;;AE;1;1;21;27;29;;;0
114502669;32;0;;ES;2,3,4;1;29;35;0;;;0
114492277;24;0;;US;1,2,4,5;1;21;27;0;;;0
114067403;27;0;;FR;;1;24;30;0;;;0
114411045;16;0;;US;;1;13;19;3;;;0
114091651;18;200;;ES;1,2,3,4,5,6,7,8,9;1;18;21;15;;;0
114094369;20;133;;US;1,2,3,4,5,6,8,9,10,11,12,13,14,15,16;1;17;23;45;1;;0
114398173;25;214;;GB;1,2,3,4,5,6,8,9,10;1;22;28;14;;;0
114375272;22;525;;US;1,2,3,4,5,6;0;19;25;329;;;0
114315193;32;400;;AR;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16;1;18;43;15;;;0
114425467;58;142;;ES;1,2,3,4,6,7,8;1;42;61;7;;;0
114382630;28;813;;GB;10;0;30;47;91;;;0
114060073;27;0;;DE;1,2,3,4;1;24;30;0;;;0
114308285;21;0;;FR;1,2,3,4,5,6,7,8,9,11,12,14,15;1;18;24;2;;;0
114454364;32;0;;AR;1;1;29;35;0;;;0
114173105;31;206;;IL;;1;20;34;29;;;0
114136725;27;1000;;FR;1;1;24;30;1;;;0
114223711;27;575;;AE;1,2,3,4,5,7,8;1;24;30;33;;;0
114199073;43;0;;CL;2;1;24;40;3;;;0
114302821;32;173;;GB;1,2,3,5,6,7,8,9,10,11,12,14,15,16;1;16;49;46;;;0
114067210;26;215;20;GB;1,2,4,5,6,7,8,10,11,12,13,14,15,16,17,18,19,20,21,24,25,26,27,28;1;23;29;195;1;1;63024
114455274;38;0;;IT;1;1;35;41;9;;;0
114487879;28;500;;US;;1;25;31;14;;;0
114439775;54;484;;US;1;1;30;40;99;;;0
114196269;51;0;;ES;3;1;24;46;0;;;0
114162301;23;200;;US;;1;20;26;5;;;0
114070273;28;227;;US;1,6;0;25;31;237;;;0
